Variable,18- 29,30- 39,40- 49,50- 59,60- 69,70+
N (min â€“ max),(52 - 113),(67 - 135),(378 - 447),(784 - 839),(771 - 817),(1212 - 1283)
Left ventricle,,,,,,
LVEDV (ml),"193 [134, 252]","185 [126, 244]","176 [117, 235]","168 [109, 227]","159 [101, 218]","151 [92, 210]"
LVEDVi (ml/m2),"92 [65, 119]","89 [61, 116]","85 [58, 112]","82 [54, 109]","78 [51, 106]","75 [48, 102]"
LVESV (ml),"80 [46, 113]","76 [42, 109]","72 [39, 105]","68 [35, 101]","64 [31, 98]","61 [27, 94]"
LVESVi (ml/m2),"38 [22, 54]","36 [21, 52]","35 [19, 50]","33 [18, 49]","32 [16, 47]","30 [14, 46]"
LVSV (ml),"113 [75, 151]","109 [71, 147]","104 [66, 142]","100 [62, 137]","95 [57, 133]","90 [52, 128]"
LVSVi (ml/m2),"54 [36, 72]","52 [34, 70]","50 [32, 68]","48 [31, 66]","47 [29, 64]","45 [27, 63]"
LVCO (l/min),"7 [5, 10]","7 [5, 10]","7 [4, 9]","6 [4, 9]","6 [3, 9]","6 [3, 8]"
LVEF (%),"59 [46, 71]","59 [46, 71]","59 [47, 72]","59 [47, 72]","60 [47, 72]","60 [48, 73]"
LVM diast (g),"117 [82, 152]","114 [79, 149]","111 [76, 147]","108 [73, 144]","105 [70, 141]","102 [67, 138]"
LVMi diast (g/m2),"55 [42, 69]","54 [41, 68]","53 [40, 67]","53 [39, 66]","52 [38, 65]","51 [37, 64]"
LVM syst (g),"114 [75, 154]","112 [73, 151]","109 [70, 148]","107 [67, 146]","104 [65, 143]","101 [62, 140]"
LVMi syst (g/m2),"54 [38, 71]","54 [37, 70]","53 [36, 69]","52 [35, 68]","51 [35, 67]","50 [34, 66]"
Right ventricle,,,,,,
RVEDV (ml),"208 [146, 269]","198 [136, 260]","188 [127, 250]","179 [117, 240]","169 [108, 231]","160 [98, 221]"
RVEDVi (ml/m2),"99 [70, 128]","95 [66, 124]","91 [62, 120]","87 [58, 116]","83 [54, 112]","79 [50, 108]"
RVESV (ml),"90 [55, 126]","85 [50, 121]","80 [45, 116]","75 [40, 111]","70 [34, 106]","65 [29, 101]"
RVESVi (ml/m2),"43 [26, 60]","41 [24, 58]","39 [22, 56]","37 [20, 53]","34 [17, 51]","32 [15, 49]"
RVSV (ml),"118 [76, 159]","113 [71, 155]","108 [67, 150]","104 [62, 146]","99 [58, 141]","95 [53, 136]"
RVSVi (ml/m2),"56 [36, 76]","54 [34, 74]","52 [32, 72]","51 [31, 71]","49 [29, 69]","47 [27, 67]"
RVCO (l/min),"8 [5, 11]","7 [5, 10]","7 [4, 10]","7 [4, 10]","6 [3, 9]","6 [3, 9]"
RVEF (%),"56 [43, 69]","57 [44, 70]","58 [45, 71]","58 [45, 71]","59 [46, 72]","59 [46, 72]"
Left atrium,,,,,,
LAESV (ml),"77 [34, 120]","74 [31, 117]","71 [28, 114]","68 [25, 111]","65 [22, 108]","62 [19, 105]"
LAESVi (ml/m2),"36 [16, 56]","35 [15, 55]","34 [14, 54]","33 [13, 53]","32 [11, 52]","31 [10, 51]"
LA max (ml),"83 [40, 126]","80 [37, 123]","76 [33, 119]","73 [30, 116]","70 [27, 113]","67 [24, 110]"
LA max i (ml/m2),"39 [19, 59]","38 [17, 58]","36 [16, 57]","35 [15, 56]","34 [14, 54]","33 [13, 53]"
LAEF (%),"66 [46, 86]","66 [46, 86]","66 [46, 86]","66 [46, 86]","66 [46, 86]","66 [46, 86]"
Right atrium,,,,,,
RAESV (ml),"86 [33, 139]","86 [33, 138]","85 [33, 138]","85 [32, 137]","84 [32, 137]","84 [32, 136]"
RAESVi (ml/m2),"40 [14, 67]","41 [14, 67]","41 [15, 67]","41 [15, 68]","42 [15, 68]","42 [16, 68]"
RA max (ml),"89 [37, 141]","89 [37, 141]","89 [37, 141]","89 [37, 141]","89 [37, 141]","89 [37, 141]"
RA max i (ml/m2),"42 [16, 68]","42 [16, 68]","43 [17, 69]","43 [17, 69]","44 [18, 70]","44 [18, 70]"
RAEF (%),"50 [30, 70]","51 [31, 71]","51 [31, 71]","51 [32, 71]","52 [32, 72]","52 [32, 72]"